///////////////// CINE //////////////////
// NIVEL 1
DICAPRIO,LEONARDO,CINE,ACTOR
PITT,BRAD,CINE,ACTOR
CRUISE,TOM,CINE,ACTOR
DEPP,JOHNNY,CINE,ACTOR
DE NIRO,ROBERT,CINE,ACTOR
EASTWOOD,CLINT,CINE,ACTOR-DIRECTOR
HANKS,TOM,CINE,ACTOR
CLOONEY,GEORGE,CINE,ACTOR
FREEMAN,MORGAN,CINE,ACTOR
REDFORD,ROBERT,CINE,CLASICO
PENN,SEAN,CINE,ACTOR	
BALE,CHRISTIAN,CINE,ACTOR	
BUTLER,GERALD,CINE,ACTOR
MCGREGOR,EWAN,CINE,ACTOR
BANDERAS,ANTONIO,CINE,ACTOR	
CAGE,NICOLAS,CINE,ACTOR			
BRODY,ADRIEN,CINE,ACTOR	
REEVES,KEANU,CINE,ACTOR	
PHOENIX,JOAQUIN,CINE,ACTOR	
CAGE,NICOLAS,CINE,ACTOR
CHAN,JACKIE,CINE,ACTOR
WILLIS,BRUCE,CINE,ACTOR
BRANDO,MARLON,CINE,CLASICO	
EVANS,CHRIS,CINE,ACTOR	
BARDEM,JAVIER,CINE,ACTOR
DAMON,MATT,CINE,ACTOR
AFFLECK,BEN,CINE,ACTOR	
MCKELLEN,IAN,CINE,ACTOR	
CANE,MICHAEL,CINE,ACTOR			
CARREY,JIM,CINE,ACTOR	
CANE,MICHAEL,CINE,ACTOR	
BRONSON,CHARLES,CINE,ACTOR				
CRAIG,DANIEL,CINE,ACTOR
BROSNAN,PIERCE,CINE,ACTOR
CONNERY,SEAN,CINE,ACTOR	
CRANSTON,BRYAN,CINE,ACTOR	
REYNOLDS,BURT,CINE,ACTOR
CARRELL,STEVE,CINE,ACTOR
GANDOLFINI,JAMES,CINE,ACTOR	
DIESEL,VIN,CINE,ACTOR	
LEE JONES,TOMMY,CINE,ACTOR			
L. JACKSON,SAMUEL,CINE,ACTOR	
STEWART,JAMES,CINE,ACTOR
	
ASTAIRE,FRED,CINE,CLASICO				
NICHOLSON,JACK,CINE,ACTOR
SPACEY,KEVIN,CINE,ACTOR
BOGART,HUMPHREY,CINE,CLASICO
GRANT,CARY,CIINE,CLASICO
ASTAIRE-FRED,CINE,CLASICO
KEATON,BUSTER,CINE,CLASICO
DEAN,JAMES,CINE,CLASICO
WAYNE,JOHN,CINE,CLASICO
LANCASTER,BURT,CINE,CLASICO
PECK,GREGORY,CINE,CLASICO
ORSON,WELLES,CINE,CLASICO
CHAPLIN,CHARILE,CINE,CLASICO

LYNCH,DAVID,CINE,DIRECTOR
SCORSESE,MARTIN,CINE,DIRECTOR
TARANTINO,QUENTIN,CINE,DIRECTOR
NOLAN,CRISTOPHER,CINE,DIRECTOR
KUBRICK,STANLEY,CINE,DIRECTOR
SPIELBERG,STEVEN,CINE,DIRECTOR	
FORD COPPOLA,FRANCIS,CINE,DIRECTOR
BERGMAN,INGMAR,CINE,DIRECTOR
ALLEN,WOODY,CINE,DIRECTOR
POLLANSKY,ROMAN,CINE,DIRECTOR
ALMODOVAR,PEDRO,CINE,DIRECTOR
CAMERON,JAMES,CINE,DIRECTOR
WILDER,BILLY,CINE,DIRECTOR
LUCAS,GEORGE,CINE,DIRECTOR
CUARON,ALFONSO,CINE,DIRECTOR
KUROSAWA,AKIRA,CINE,DIRECTOR	
CRONENBERG,DAVID,CINE,DIRECTOR
JACKSON,PETER,CINE,DIRECTOR
LEONE,SERGIO,CINE,DIRECTOR
DEL TORO,GUILLERMO,CINE,DIRECTOR

STREEP,MERYL,CINE,ACTRIZ
LAWRENCE,JENNIFER,CINE,ACTRIZ
PORTMAN,NATALIE,CINE,ACTRIZ
ROBERTS,JULIA,CINE,ACTRIZ
BULLOCK,SANDRA,CINE,ACTRIZ
CLARKE,EMILIA,CINE,ACTRIZ	
BIEL,JESSICA,CINE,ACTRIZ
HATHAWAY,ANNE,CINE,ACTRIZ				
JOLIE,ANGELINA,CINE,ACTRIZ		
KIDMAN,NICOLE,CINE,ACTRIZ
BLUNT,EMILY,CINE,ACTRIZ	
CRUZ,PENELOPE,CINE,ACTRIZ
ANISTON,JENNIFER,CINE,ACTRIZ			
SARANDON,SUSAN,CINE,ACTRIZ
WINSLET,KATE,CINE,ACTRIZ	
ROBBIE,MARGOT,CINE,ACTRIZ			
PATAKY,ELSA,CINE,ACTRIZ		
GADOT,GAL,CINE,ACTRIZ

HEPBURN,KATHERINE,CLASICO
GARBO,GRETA,CINE,CLASICO
GARDNER,AVA,CINE,CLASICO

///////////////// FUTBOL //////////////////
// NIVEL 1
ZIDANE,ZINEDINE,FUTBOL,1
MBAPPE,KILLIAN,FUTBOL,1
IBRAHIMOVIC,ZLATAN,FUTBOL,1
RAMOS,SERGIO,FUTBOL,1
A. MARADONA,DIEGO,FUTBOL,1
MESSI,LEO,FUTBOL,1	
DI STEFANO,ALFREDO,FUTBOL,1	
CRUYFF,JOHAN,FUTBOL,1	
MODRIC,LUKA,FUTBOL,1	
CASILLAS,IKER,FUTBOL,1	
BALLACK,MICHAEL,FUTBOL,1
ZANETTI,JAVIER,FUTBOL,1	
BECKHAM,DAVID,FUTBOL,1	
HAZARD,EDEN,FUTBOL,1	
ASENSIO,MARCO,FUTBOL,1	
BENZEMA,KARIM,FUTBOL,1	
GRIEZMANN,ANTOINE,FUTBOL,1
VIDAL,ARTURO,FUTBOL,1

// NIVEL 2
PUSKAS,FERENC,FUTBOL,2	
PLATINI,MICHAEL,FUTBOL,2	
GENTO,PACO,FUTBOL,2	
GULLIT,RUUD,FUTBOL,2	
BATISTUTA,GABRIEL,FUTBOL,2	
GIGGS,RYAN,FUTBOL,2	
HENRY,THIERRY,FUTBOL,2	
BEST,GEORGE,FUTBOL,2
CHARLTON,BOBBY,FUTBOL,2	
ZAMORANO,IVAN,FUTBOL,2	
GONZALEZ,RAUL,FUTBOL,2
PIRES,ROBERT,FUTBOL,2
FIGO,LUIS,FUTBOL,2
WEAH,GEORGE,FUTBOL,2
NEDVED,PAUL,FUTBOL,2
RIJKAARD,FRANK,FUTBOL,2
KROOS,TONI,FUTBOL,2
COURTOIS,THIBAUT,FUTBOL,2
DEL BOSQUE,VICENTE,FUTBOL,2

// NIVEL 2
UMTITI,SAMUEL,FUTBOL,3	
RAKITIC,IVAN,FUTBOL,3	
GUARDIOLA,PEP,FUTBOL,3	
ALVES,DANI,FUTBOL,3	
KLUIVERT,PATRICK,FUTBOL,3	
PUYOL,CARLES,FUTBOL,3	
SCHOLES,PAUL,FUTBOL,3	
ROONEY,WAYNE,FUTBOL,3
